rank,track_artist,peak,prev,streak,streams,track_name,artist_name,genius_url,lyrics
Translations
Français
Português
Русский (Russian)
Türkçe
Česky
Español
Nederlands
Italiano
12 to 12 Lyrics
“12 to 12” is sombr’s third single of the year, following the success of his TikTok-viral tracks “undressed” and “we never dated.” A haunting, late-night ballad, the song explores the emotional weight of…
Read More
[Verse 1]
I don't want anyone else
From the hours of 12 to 12
I am not the least compelled
By anyone but yourself
Look at me, it makes me melt
I know you wanna see me in hell, my love
I'm dealing with the cards I've dealt
While you're dancing with somebody else
[Pre-Chorus]
Was it always in your plan to leave eventually?
Because to me, there's no one else that could make sense to me
The last and final puzzle piece
[Chorus]
In a room full of people, I look for you
Would you avoid me or would you look for me too?
Tell me, is our story through? (Through)
Or do our hearts still beat in tune?
[Verse 2]
I've never felt anything
Like the love from my final days
Why'd you wait
To show me you could do it this way?
Woo, I'll never look at you, look at you the same
We met in The Paris café
I said, ""Can I sit with you? Comment ça se fait?""
My mistake
If I'd known it would have been this way
I'd never looked at you, looked in the first place

[Pre-Chorus]
Was it always in your plan to leave eventually?
Because to me, there's no one else that could make sense to me
The last and final puzzle piece
[Chorus]
In a room full of people, I look for you
Would you avoid me or would you look for me too?
Tell me, is our story through? (Through)
Or do our hearts still beat in tune?
[Bridge]
Maybe I'm delusional
And the way you act is usual
Maybe in another world
I won't feel so unlovable (Unlovable)
Oh (Unlovable)
[Chorus]
In a room full of people, I look for you
Would you avoid me or would you look for me too?
Tell me, is our story through? (Through)
Or do our hearts still beat in tune?
In a room full of people, I look for you
Would you avoid me or would you see me through?
Tell me, is our story through? (Through)
Or do our hearts still beat in tune?"
33,"LA CANCIÓN
J Balvin, Bad Bunny",11,17.0,12,15399710,LA CANCIÓN,"J Balvin, Bad Bunny",https://genius.com/Spotify-top-artistas-bolivia-2022-annotated,"1 Contributor
Top Artistas Bolivia 2022 Lyrics
Top Artistas Bolivia 2022
1.
""Me Porto Bonito"" - Bad Bunny, Chencho Corleone
2.
""Desesperados"" - Rauw Alejandro, Chencho Corleone
3.
""PROVENZA"" - KAROL G
4.
""LA CANCIÓN"" - J Balvin, Bad Bunny
5.
""X ÚLTIMA VEZ"" - Daddy Yankee, Bad Bunny
6.
""Ya No Somos Ni Seremos"" - Christian Nodal
7.
""Tacones Rojos - Sebastian Yatra
8.
""Quevedo: Bzrp Music Sessions, Vol. 52"" - Bizarrap, Quevedo
9.
""No Se Va"" - Morat
10.
""Normal"" - Feid
11.
""Sobrio"" - Maluma
12.
""Si Quieren Frontear"" - Duki, De La Ghetto, Quevedo
13.
""911 (Remix)"" - Sech, Jhayco
14.
""Butter"" - BTS
15.
""OJALÁ"" - Maria Becerra
16.
""Si Se Da - Remix"" - Myke Towers, Farruko, Arcángel, Sech, Zion
17.
""Plan A"" - Paulo Londra
18.
""La Llevo Al Cielo (Ft. Ñengo Flow)"" - Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow
19.
""La Bachata"" - Manuel Turizo
20.
""Sola (Remix)"" - Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin
21.
""Hey Mor"" - Ozuna, Feid
22.
""Nos Comemos (feat. Ozuna)"" - Tiago PZK, Ozuna
23.
""La Triple T"" - TINI
24.
""Índigo"" - Camilo, Evaluna Montaner
25.
""En La De Ella"" - Jhayco, Feid, Sech
26.
""Los Tragos"" - Reik, Maria Becerra
27.
""Monotonía"" - Shakira, Ozuna
28.
""La Pared 360"" - Lenny Tavárez, Justin Quiles
29.
""Pepas"" - Farruko
30.
""LA INOCENTE"" - Mora, Feid
31.
""Besos Moja2"" - Wisin & Yandel, ROSALÍA
32.
""MAMIII"" - Becky G, KAROL G
33.
""VISTA AL MAR"" - Quevedo
34.
""La Trampa es Ley"" - LIT killah
35.
""Blinding Lights"" - The Weeknd
36.
""Los Cachos"" - Piso 21, Manuel Turizo
37.
""Loco"" - Justin Quiles, Chimbala, Zion & Lennox
38.
""San Lucas"" - Kevin Kaarl
39.
""Fuera del mercado"" - Danny Ocean
40.
""Dile"" - Don Omar
41.
""My Universe"" - Coldplay, BTS
42.
""Ojos Rojos"" - Nicky Jam
43.
""As It Was"" - Harry Styles
44.
""Otra Noche"" - Los Ángeles Azules, Nicki Nicole
45.
""Enemy (with JID) - from the series Arcane League of Legends"" - Imagine Dragons, JID, Arcane, League of Legends
46.
""El Pañuelo"" - Romeo Santos, ROSALÍA
47.
""cómo dormiste?"" - Rels B
48.
""Nobody Like Yo"" - Nicki Nicole
49.
""La Curiosidad"" - Jay Wheeler, DJ Nelson, Myke Towers
50.
""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)"" - Tainy, Bad Bunny, Julieta Venegas"
34,"Sweater Weather
The Neighbourhood",16,36.0,287,15369878,Sweater Weather,The Neighbourhood,https://genius.com/The-neighbourhood-sweater-weather-lyrics,"213 Contributors
Translations
Español
Türkçe
Português
Dansk
Русский (Russian)
Português
Français
Deutsch
Česky
Polski
العربية
Italiano
Sweater Weather Lyrics
“Sweater Weather” is the lead single from The Neighbourhood’s 2012 debut EP I’m Sorry…, and also features on their debut full-length album I Love You.

“Sweater Weather” is one of The Neighbourhood’s most…
Read More
[Verse 1]
And all I am is a man
I want the world in my hands
I hate the beach, but I stand
In California with my toes in the sand
Use the sleeves of my sweater, let's have an adventure
Head in the clouds, but my gravity's centered
Touch my neck and I'll touch yours
You in those little high-waisted shorts, oh
[Pre-Chorus]
She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no
[Chorus]
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
[Verse 2]
And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue 'cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside, this place is warm
Outside, it starts to pour

[Pre-Chorus]
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothin' that I wouldn't wanna tell you about
No, no, no
[Chorus]
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
Woah
[Bridge]
Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah
[Chorus]
'Cause it's too cold for you here and now
So let me hold both your hands in the holes of my sweater
'Cause it's too cold for you here and now
Let me hold both your hands in the holes of my sweater

[Outro]
And it's too cold, it's too cold
The holes of my sweater"
35,"Creep
Radiohead",27,39.0,61,14341750,Creep,Radiohead,https://genius.com/Radiohead-creep-lyrics,"263 Contributors
Translations
Português
Polski
Deutsch
Español
العربية
Русский (Russian)
Français
Türkçe
Українська
o‘zbek
Italiano
Español
Česky
Österreichisches Deutsch
Creep Lyrics
According to Thom Yorke, “Creep” tells the tale of an inebriated man who tries to get the attention of a woman to whom he is attracted by following her around. In the end, he lacks the self-confidence to face…
Read More
[Verse 1]
When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fuckin' special
[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
[Verse 2]
I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fuckin' special
I wish I was special

[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
Oh-oh, oh-oh
[Bridge]
She's runnin' out the door
She's runnin' out
She run, run, run, run
Run
[Verse 3]
Whatever makes you happy
Whatever you want
You're so fuckin' special
I wish I was special
[Chorus]
But I'm a creep
I'm a weirdo
What the hell am I doin' here?
I don't belong here
I don't belong here"
36,"Qué Pasaría...
Rauw Alejandro, Bad Bunny",17,26.0,4,14181459,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",https://genius.com/Genius-english-translations-rauw-alejandro-and-bad-bunny-que-pasaria-english-translation-lyrics,"4 Contributors
Translations
Español
Deutsch
Polski
Türkçe
Rauw Alejandro & Bad Bunny - Qué Pasaría... (English Translation) Lyrics
[Intro: Bad Bunny]
What would happen if those nights inside you came back?
It felt so good when I put it in you
You know what we did
And now, without planning, we saw each other in the club
[Chorus: Rauw Alejandro]
What would happen if it were just us?
In a bed, hey, hey, remembering
How I used to give it to you, your friend's already gone
Why are you staying? You're missing something, baby, and
[Post-Chorus: Rauw Alejandro]
I've got it, girl, I've got it, baby
I've got it and I'll give it to you tonight (Wouh)
Her song is playing, her song is playing
You see her, but nobody knows her
Don't think about it anymore, don't think about it anymore
Don't think about it, just give me one more night
And I'll give you what you're missing, baby (Ra-Rauw)
[Verse 1: Rauw Alejandro &
Bad Bunny
]
And if we hook up again, who cares? (Yah!)
This is our business when the urge hits (Wouh)
Our folders are full of videos of us doing it
I've got her bouncing in a split (Yee)
She likes explicit lyrics (Ah!)
You always end up here
My wild girl, and I'm the one who calms you down
I know you won't stop 'til you get what you want (No, oh-oh)
She's fired up, wants me to burn with her (
Wants me to burn with her
)
I'm already thinking of making a couple of kids with you (Ha)
Damn, what a body you have (Woo;
yeah-yeah-yeah-yeah
)

[Verse 2: Bad Bunny &
Rauw Alejandro
]
Baby, don't act like you don't know what's gonna happen
If I don't pull out, you're gonna have to bottle me up
You know who's got it, I know how you like it
Imagine if we made a baby with our genes, but for now, she doesn't want to
She prefers it in her mouth and took a shot of my DNA
Such a quiet girl, but in bed she never stops (
Yee
)
Sweaty, bouncing, shining like my chains
Da-da-dance, girl (
Yah!
)
She looks at me and grabs it, she knows what it's for
This night is too good
The club is packed, but
[Chorus: Bad Bunny &
Rauw Alejandro
]
What would happen if it were just us?
In a bed, you and I fucking
Like how I used to give it to you, your friend's already gone
Why are you complaining? You're missing something, eh-eh, eh-eh (
Yah!
)
[Post-Chorus: Bad Bunny &
Rauw Alejandro
]
I've got it, girl, I've got it, baby
I've got it and I'll give it to you tonight (
Yee!
)
Her song is playing, her song is playing
You see her, but nobody knows her (
Yee!
)
Don't think about it anymore, don't think about it anymore
Don't think about it, just give me one more night
Eh-eh-eh, eh-eh-eh, eh-eh-eh, mm

[Outro: Rauw Alejandro]
Tell me, MAG, turn it up
Tell me, MAG, turn it up
Ayy, ayy, ayy, ha"
37,"Gabriela
KATSEYE",10,37.0,36,14146352,Gabriela,KATSEYE,https://genius.com/Katseye-gabriela-lyrics,"116 Contributors
Translations
English
Português
Español
Italiano
Русский (Russian)
Français
Nederlands
한국어 (Korean)
Українська
ไทย (Thai)
Polski
Dansk
Česky
Tiếng Việt
Deutsch
Türkçe
bosanski
Nederlands
Gabriela Lyrics
“Gabriela” is a Latin-tinged R&B pop track about a woman who begs another not to steal her man away. It  serves as the second single from KATSEYE’s EP, BEAUTIFUL CHAOS. It follows their hyperpop anthem…
Read More
[Verse 1: Megan &
Manon
]
Hot like a bullet
Flying too fast, I couldn't catch it
Heart in the casket
You always knew it
The starring role, the main attraction
Got cameras flashing
[Pre-Chorus: Lara &
Sophia
]
Like, ooh
You got everybody's eyes undressing you
And I see it too
Yeah, ooh
You could have anyone else you wanted to
I'm beggin' you
[Chorus: Yoonchae,
Manon
,
Lara
&
Daniela
]
Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la
Back off of my fella, Gabriela
Back off, Gabriela-la-la
'Cause, ooh
You could have anyone else you wanted to
I'm beggin' you
(Hey)
Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la, la-la-la-la

[Verse 2: Megan &
Yoonchae
]
Skin amaretto
I bet you taste just like the summer
Under the covers (Hey)
Me in the middle
Overprotective of my lover
You make me wonder
[Pre-Chorus: Lara &
Sophia
]
Like, ooh
If you made all of these fantasies come true
What would you do?
Yeah, ooh
You could have anyone else you wanted to
But I'm beggin' you
[Chorus: Yoonchae,
Manon
,
Lara
&
Daniela
]
Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la
Back off of my fella, Gabriela
Back off, Gabriela-la-la
'Cause, ooh
You could have anyone else you wanted to
I'm beggin' you
(Hey)
Hands off, Gabriela, Gabriela
Hands off, Gabriela-la-la, la-la-la-la

[Post-Chorus: Megan]
La-la-la-la
La-la-la-la
La-la-la-la (Oh, no)
[Bridge: Daniela]
Él llegó conmigo y conmigo se va
Sus ojos son mío', eso no va a cambiar
Me quiere a mí y no importan las demás
No, no, no, no, no, no, no, no
Él llegó conmigo y conmigo se va
Sus ojos son mío', eso no va a cambiar
Me quiere a mí y no importan las demás
No, no, no, no, no, no, no, no
[Chorus]
Hands off, Gabriela, Gabriela
Hands off, Gabriel-la-la-la (Gabriela)
Back off of my fella, Gabriela
Back off, Gabriel-la-la-la (Oh, Gabriel-la-la-la)
'Cause, ooh
You could have anyone else you wanted to
I'm beggin' you (I'm beggin' you; Hey)
Hands off, Gabriela (Gabriela, hands off), Gabriela
Hands off (Hands off), Gabriel-la-la-la, la-la-la-la (La-la-la-la)

[Outro: Megan &
Daniela
]
La-la-la-la (
La-la-la-la
)
La-la-la-la (
La-la-la-la
)
La-la-la-la
(
Back off, back off, back off
)"
38,"Cuando No Era Cantante - Remix
El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",30,38.0,11,13972264,Cuando No Era Cantante - Remix,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",https://genius.com/Genius-english-translations-el-bogueto-anuel-aa-fuerza-regida-and-yung-beef-cuando-no-era-cantante-remix-english-translation-lyrics,"1 Contributor
Translations
Español
El Bogueto, Anuel AA, Fuerza Regida, & Yung Beef - Cuando No Era Cantante (Remix) (English Translation) Lyrics
[Lyrics of ""Cuando No Era Cantante (Remix)""]
[Intro: JOP]
Uh-uh-uh
How pretty that ass loo-oo-ooks
In the bedroom we turn off the li-i-ghts (Jajaja)
When I'm inside you scream ""uh-uh-uh"" (Jajaja, QueHicisteBella)
You go, ""uh-uh-uh""
Cutie, you only call when you're alone
When your parents leave you home alone
Nothing too extravagant
Not a restaurant, I'm an elegant cholo
And what would happen if we saw each other again?
To kill this desire to see each other
To give you those sloppy kisses
[Chorus: Yung Beef, JOP, Anuel AA & El Bogueto]
Like before, baby, we're gonna do it like before (Fuerza Regida; Real until death, baby; Bo-Bogueto)
Like back when I wasn't a singer (Real until death, baby)
Before I became a gangster (This is the remix; Anuel)
[Refrain: Anuel AA & El Bogueto]
Mami, I miss your scent, I need your warmth
Come here, I want to make love to you
Listening to La Mafia del Amor in the background
Like when we used to fuck in your room
Mami, I miss your scent, I need your warmth
Come here, I want to make love to you
Listening to La Mafia del Amor in the background
Like we did before in your bedroom (The AA)

[Chorus: Anuel AA, JOP & Yung Beef]
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
[Verse 1: Anuel AA]
Fucking like before, don't come and complain afterwards
I think about you, and if I call you don't hesitate in picking up
I've seen that you've been looking for love in other places lately
But I step out of the Lamborghini (Oah) and you're gonna get wet (Oah)
I know, baby, baby, I know (Yo sé)
That you feel something in your pussy if you see me (if you see me)
I bought you Prada boots with Chanel perfume (Chanel)
She has a boyfriend, but I fuck her better than him (Uah)
I met her, I waited for her impatiently (I waited for her impatiently)
I fucked her because he wasn't treating her right (Real until death)
She was sad, I got rid of her depression (the depression)
Bitch drops it low, now she has me restless again
[Bridge: Anuel AA]
We're gonna fuck like it's 2012
With my Draco on top for back when I wasn't famous
I still remember the kilos hidden in my closet (Uah)
You were smoking while I was sucking on your pussy
We're gonna fuck like it's 2012 (2012)
With my Draco on top for back when I wasn't famous (famous)
I still remember the kilos hidden in my closet (Uah)
You were smoking while I was sucking on your pussy (pussy)

[Chorus: El Bogueto & Yung Beef]
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
[Verse 2: Yung Beef]
Stop hiding, I'm gonna go out and find you
Let me show you that I'm not the same as before
I'm gonna treat you nice, me and you, we're different
We're gonna play sports, then go to a restaurant
Baby, we're gonna do it, do it hard like before
And if you want, tomorrow you can forget about it
And give your mom a kiss for me
And should you want to, you already know where to find me
[Chorus: Yung Beef & El Bogueto]
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
(Before I was a gangster)
(Before I was a singer)
[Refrain: El Bogueto & Anuel AA]
Mami, I miss your scent, I need your warmth
Come here, I want to make love to you
Listening to La Mafia del Amor in the background
Like when we used to fuck in your room

[Verse 3: JOP]
We're gonna fuck like back when I wasn't singing
When the packs weren't stacking up yet
Before I got swamped with groupies and fame
Like back when I wasn't anything yet
Before I filled my fucking neck up with diamonds  (Diamonds)
Mami, before you got those implants (-plants)
Back when you loved me, we used to fuck so good
Let yourself go one more time, if you want, then afterwards nothing
[Chorus: JOP & El Bogueto]
Like before, we're gonna eat each other like before
I'll put a diamond ring on you
Of your ass and of your heart I'm a lover (Brr!), baby, come before (El Bogue)
[Verse 4: El Bogueto & Anuel AA]
I'm out in the streets, I'm out hustling
Everyday I'm fucking some new ass
But the fame and the money don't fulfill me
Go and tell that guy you were fucking that he can suck me that bastard
I was loyal, you were my real until death
Please don't go, baby, don't let go of me
I want to fuck you on top of $100 dollar bills
For my girl something nice
I'll always be your forbidden love, your real gangster (your real gangster)
I'm at the top, but I can't fuck you
I'll buy you the block, an AP with diamonds
Before the world ends, let's do it like before (Uah, uah)
[Refrain: El Bogueto & Anuel AA]
Mami, I miss your scent, I need your warmth (Real until death)
Come here, I want to make love to you (Real until death)
Listening to La Mafia del Amor in the background (Uah, Uah)
Like we did before in your bedroom
[Chorus: El Bogueto, Anuel AA, JOP & Yung Beef]
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
Like before, baby, we're gonna do it like before
Like back when I wasn't a singer
Before I became a gangster
Before you got those implants
[Outro: Anuel AA, JOP & El Bogueto]
Fuerza
Brr, oye
Mera, tell me, Fuerza Regida
Bo-Bogueto
Mera, tell me, Bogueto
The AA
Mera, tell me, Yung Beef
Anuel, brr
Real until death, baby
Jaja, QueHicisteBella"
39,"No Broke Boys
Disco Lines, Tinashe",13,45.0,35,13956831,No Broke Boys,"Disco Lines, Tinashe",https://genius.com/Disco-lines-and-tinashe-no-broke-boys-lyrics,"12 Contributors
Translations
Deutsch
No Broke Boys Lyrics
[Intro]
No, that, no, that, no, that (
Disco
)
[Verse]
Ex on the line, just as I suspected
No one really gets over me
I'm unaffected, why would you try to ever put me second?
You just another groupie to me now
[Pre-Chorus]
I'm out here single, and I need somethin' real
Now I got standards, give a fuck how you feel (Fuck how you feel)
I'm out here single, tell me what's the deal
Now I got standards, give a fuck how you feel
[Refrain]
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
(No, that, no, that, no, that, no, that)
No, that, no, that, no, that, no, that
[Chorus]
No broke boys, no new friends
I'm that pressure, give me my tens
Ain't no lie, ain't no shade
Fuck on me, then you know he paid
Looks so good, makes no sense
Badass bitch, with my badass friends
No broke boys, ain't no shade
Fuck on me, then you know he paid

[Refrain]
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No, that, no, that, no, that, no, that
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No, that, no, that, no, that, no, that
[Chorus]
No broke boys, no new friends
I'm that pressure, give me my tens
Ain't no lie, ain't no shade
Fuck on me, then you know he paid
Looks so good, makes no sense
Badass bitch, with my badass friends
No broke boys, ain't no shade
Fuck on me, then you know he paid
[Refrain]
No broke boys, no new friends (No new friends)
No broke boys, no new friends
No broke boys, no new friends (No new friends)
(No, that, no, that, no, that, no, that)
No, that, no, that, no, that (
Disco
)

[Chorus]
No broke boys, no new friends
I'm that pressure, give me my tens
Ain't no lie, ain't no shade
Fuck on me, then you know he paid
Looks so good, makes no sense
Badass bitch, with my badass friends
No broke boys, ain't no shade
Fuck on me, then you know he paid
[Refrain]
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
No broke boys, no new friends
[Outro]
(No, that, no, that, no, that, no, that)
No, that, no, that, no, that, no, that"
40,"Beautiful Things
Benson Boone",1,49.0,110,13702193,Beautiful Things,Benson Boone,https://genius.com/Benson-boone-beautiful-things-lyrics,"81 Contributors
Translations
Deutsch
Português
Español
Italiano
Tiếng Việt
Українська
Norsk
Français
Beautiful Things Lyrics
“Beautiful Things” is the lead single off of Benson Boone’s debut album, Fireworks & Rollerblades. It was released on January 18, 2024. Boone began teasing the song on TikTok and Instagram on December 3, 2023…
Read More
[Verse 1]
For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me, He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified as the man who stands to lose you
[Pre-Chorus]
Oh, I hope I don't losе you
Mm, please stay
I want you, I need you, oh God
Don't take
Thеse beautiful things that I've got
[Chorus]
Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

[Post-Chorus]
Oh, ooh
Please don't take
[Verse 2]
I found my mind, I'm feelin' sane
It's been a while, but I'm finding my faith
If everything's good and it's great, why do I sit and wait 'til it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all
[Chorus]
Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got
[Post-Chorus]
Oh, ooh
[Outro]
Please stay
I want you, I need you, oh God
I need
These beautiful things that I've got"
41,"I Wanna Be Yours
Arctic Monkeys",15,44.0,190,13475592,I Wanna Be Yours,Arctic Monkeys,https://genius.com/Arctic-monkeys-i-wanna-be-yours-lyrics,"129 Contributors
Translations
Türkçe
Español
Français
Deutsch
العربية
Português
Polski
Italiano
Česky
I Wanna Be Yours Lyrics
The song reworks John Cooper Clarke’s poem of the same name. The song focuses on similar themes in the poem. In an interview, Clarke said his poem is:

one of a classic style of love poem, love song, in which…
Read More
[Verse 1]
I wanna be your vacuum cleaner
Breathin' in your dust
I wanna be your Ford Cortina
I will never rust
If you like your coffee hot
Let me be your coffee pot
You call the shots, babe
I just wanna be yours
[Pre-Chorus]
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours
[Chorus]
I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
[Verse 2]
Let me be your 'leccy meter
An' I'll never run out
Let me be the portable heater
That you'll get cold without
I wanna be your setting lotion (Wanna be)
Hold your hair in deep devotion (How deep?)
At least as deep as the Pacific Ocean
I wanna be yours

[Pre-Chorus]
Secrets I have held in my heart
Are harder to hide than I thought
Maybe I just wanna be yours
[Chorus]
I wanna be yours
I wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
Wanna be yours
[Outro]
I wanna be your vacuum cleaner (Wanna be yours)
Breathin' in your dust (Wanna be yours)
I wanna be your Ford Cortina (Wanna be yours)
I will never rust (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)
I just wanna be yours (Wanna be yours)"
42,"Don’t Say You Love Me
Jin",2,43.0,41,13458054,Don’t Say You Love Me,Jin,https://genius.com/Jin-dont-say-you-love-me-lyrics,"28 Contributors
Translations
한국어 (Korean)
Türkçe
Español
Deutsch
Русский (Russian)
Українська
Don’t Say You Love Me Lyrics
[Verse 1]
I really thought I made up my mind
Hopped in the car and put it in drive
I tried to leave like a hundred times
But something's stopping me every time, oh-ho
[Pre-Chorus]
Faking a smile while we're breaking apart
Oh, I never, never, never meant to take it this far
Too late to save me, so don't even start
Oh, you never meant to hurt me, but you're making it hard
[Chorus]
Don't tell me that you're gonna miss me
Just tell me that you wanna kill me
Don't say that you love me 'cause it hurts the most
You just gotta let me go
[Verse 2]
I really thought this was for the best
It never worked last time that I checked
I got this pain stuck inside my chest
And it gets worse the further I get, oh-ho
[Pre-Chorus]
Faking a smile while we're breaking apart
Oh, I never, never, never meant to take it this far
Too late to save me, so don't even start
Oh, you never meant to hurt me, but you're making it hard

[Chorus]
Don't tell me that you're gonna miss me (Tell me that you miss me)
Just tell me that you wanna kill me (Kill me)
Don't say that you love me 'cause it hurts the most (The most)
You just gotta let me go
Lie to me, tell me that you hate me (Tell me that you hate me)
Look me in the eyes and call me crazy (Crazy)
Don't say that you love me 'cause it hurts the most (The most)
You just gotta let me go
[Outro]
Let me go
Gotta let me go
Gotta let me
Don't say that you love me 'cause it hurts the most
You just gotta let me go"
43,"One Of The Girls (with JENNIE, Lily Rose Depp)
The Weeknd, JENNIE, Lily-Rose Depp",3,42.0,125,13304956,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",https://genius.com/Genius-videography-videography-the-weeknd-annotated,"11 Contributors
Videography: The Weeknd Lyrics
This is a list of all official music videos for songs by Canadian singer-songwriter and alternative R&B artist The Weeknd.
2012
The Knowing
Rolling Stone
Wicked Games
The Zone (feat. Drake)
2013
Kiss Land
Twenty Eight
Belong To The World
Live For (feat. Drake)
Pretty
2014
Often
King Of The Fall
2015
Earned It
The Hills
Can't Feel My Face
Tell Your Friends
In The Night
2016
In The Night (Short Version)
Starboy (feat. Daft Punk)
False Alarm
M A N I A
2017
Party Monster
Reminder
I Feel It Coming (feat. Daft Punk)
2018
Call Out My Name
2019
Heartless
2020
Blinding Lights
After Hours (Short Film)
In Your Eyes
Too Late
Until I Bleed Out
2021
Can't Feel My Face (Alternate Video)
Die For You
Echoes of Silence
Moth To A Flame (with Swedish House Mafia)
Save Your Tears
Take My Breath Away
Try Me
2022
Gasoline
How Do I Make You Love Me?
Out of Time
Sacrifice
2023
Double Fantasy
Is There Someone Else?
One Of The Girls (with JEANNIE & Lily-Rose Depp)
2024
Dancing In The Flames
Popular
São Paulo
Timeless
2025
Baptized In Fear
Cry For Me
Drive
Hurry Up Tomorrow
Open Hearts
One Week Until Tomorrow
Red Terror"
